Advantage Bank,Oklahoma City,OK,73141,6/30/16,NM,62611,54938,428,46469,1968,2384,8580,111,53,659,11
Advantage Community Bank,Dorchester,WI,54425,6/30/16,NM,137216,121238,599,94386,3020,4216,21755,163,108,14077,158
Affiliated Bank,Bedford,TX,76021,6/30/16,SA,587948,531489,3907,532020,8468,4717,53450,106,152,242,2
Affinity Bank,Atlanta,GA,30328,6/30/16,NM,264581,246071,-66,191627,712,5156,109835,182,399,0,0
AIG Federal Savings Bank,Wilmington,DE,19809,6/30/16,SA,33085,1765,883,0,0,0,0,0,0,0,0
AIMBank,Littlefield,TX,79339,6/30/16,NM,820544,740298,3928,648052,10785,24290,89017,1045,368,45485,476
Alamerica Bank,Birmingham,AL,35205,6/30/16,NM,35220,29591,27,24964,216,1558,7424,31,35,709,5
Alamosa State Bank,Alamosa,CO,81101,6/30/16,NM,230081,209087,1986,116012,8417,4577,22421,212,92,9197,173
Albany Bank and Trust Company National Association,Chicago,IL,60625,6/30/16,N,547942,462472,1836,368841,1401,1161,68374,33,183,217,1
Albina Community Bank,Portland,OR,97212,6/30/16,NM,167122,149725,163,111076,837,4836,52097,153,153,133,1
Alden State Bank,Alden,NY,14004,6/30/16,SM,287702,251978,1491,210125,4582,8293,32246,249,157,34,4
Alerus Financial  National Association,Grand Forks,ND,58201,6/30/16,N,1929874,1706256,8198,1428776,86154,42842,293756,1659,1341,33980,501
Algonquin State Bank  National Association,Algonquin,IL,60102,6/30/16,N,137812,120690,518,35785,682,276,4061,15,13,0,0
All America Bank,Oklahoma City,OK,73128,6/30/16,NM,367519,324914,2069,254767,7388,9872,27785,424,131,57423,954
Allegheny Valley Bank of Pittsburgh,Pittsburgh,PA,15201,6/30/16,NM,432059,382286,1578,294543,1153,5953,52592,152,199,0,0
Allegiance Bank,Houston,TX,77040,6/30/16,NM,2365075,2098349,12006,1753715,12270,48228,441674,1437,1656,6947,49
Alliance Bank,Francesville,IN,47946,6/30/16,NM,296547,261022,1967,165873,1493,6320,25332,301,137,46862,453
Alliant Bank,Madison,MO,65263,6/30/16,NM,151469,136965,832,117332,1872,6385,16772,283,99,28644,454
Allied Bank,Mulberry,AR,72947,6/30/16,SM,66336,65015,-4495,41744,2234,1201,9388,53,50,1113,14
Allied First Bank sb,Oswego,IL,60543,6/30/16,SB,89618,81441,345,59525,1730,774,14414,27,56,0,0
AllNations Bank,Calumet,OK,73014,6/30/16,SM,50650,45602,-68,20674,3777,2435,4007,80,20,3041,70
Ally Bank,Midvale,UT,84047,6/30/16,SM,114554166,97297497,606512,85473434,31855862,4962998,285870,195480,776,0,0
Alma Bank,Astoria,NY,11102,6/30/16,NM,1066365,943738,2663,901402,756,4465,120099,130,326,0,0
Alma Exchange Bank and Trust,Alma,GA,31510,6/30/16,NM,89253,80717,264,54034,2671,3318,14356,140,62,10847,159
Almena State Bank,Almena,KS,67622,6/30/16,NM,66045,60162,590,58520,3978,4648,8401,185,57,17140,270
AloStar Bank of Commerce,Birmingham,AL,35243,6/30/16,NM,1020664,836171,2493,772611,4,66,111,2,1,0,0
Alpine Bank,Glenwood Springs,CO,81601,6/30/16,NM,2884097,2602203,17363,1957835,28609,19950,195173,1884,789,3320,34
Alpine Bank and Trust Co.,Rockford,IL,61107,6/30/16,SM,1249617,1137479,7582,785159,78389,6572,78545,290,382,17512,161
Alpine Capital Bank,New York,NY,10019,6/30/16,NM,263489,222210,1558,131538,12518,0,3714,0,8,0,0
Altamaha Bank and Trust Company,Vidalia,GA,30474,6/30/16,NM,157240,140194,1122,108922,8365,9142,27412,406,127,10059,168
AltaPacific Bank,Santa Rosa,CA,95403,6/30/16,SM,354126,296399,2198,232372,2704,767,53222,36,193,0,0
Alterra Bank,Leawood,KS,66211,6/30/16,SM,301488,261064,1090,241564,9,1076,30652,55,196,260,3
Alton Bank,Alton,MO,65606,6/30/16,NM,64218,56255,641,36380,5298,1823,6116,90,20,12117,319
Altoona First Savings Bank,Altoona,PA,16603,6/30/16,SB,205485,177567,504,140978,7594,8681,33798,246,151,0,0
Altura State Bank,Altura,MN,55910,6/30/16,NM,48170,40468,169,29612,1316,928,1690,43,15,14216,137
Alva State Bank and Trust Company,Alva,OK,73717,6/30/16,NM,315617,274400,3679,255748,6855,5379,15815,233,89,52692,582
Amalgamated Bank,New York,NY,10001,6/30/16,NM,3930271,3581067,5223,2337404,3933,516,18777,18,59,0,0
Amarillo National Bank,Amarillo,TX,79101,6/30/16,N,3723269,3266330,24576,3022773,641879,92568,230563,3091,1416,13594,204
Ambler Savings Bank,Ambler,PA,19002,6/30/16,SB,344449,305169,1249,204719,122,646,15870,18,55,135,1
Amboy Bank,Old Bridge,NJ,8857,6/30/16,SM,2323577,2018644,19446,1783514,567,2279,57748,57,187,0,0
Amerasia Bank,Flushing,NY,11355,6/30/16,NM,479037,425006,4302,432850,378,913,75462,26,225,770,4
America's Community Bank,Blue Springs,MO,64015,6/30/16,SM,30099,26579,45,20492,138,2363,11316,41,52,689,3
American Bank,Fond Du Lac,WI,54935,6/30/16,NM,451447,393245,2411,326044,613,10948,49538,472,199,120,3
American Business Bank,Los Angeles,CA,90014,6/30/16,NM,1664532,1520526,6606,741588,2979,7611,180620,175,402,0,0
