name,city,stalp,zip,repdte,number_of_employees,asset,liabilities,deposits,common_stock,derivatives,total_securities,asset_backed_securities,mortgage_backed_securities,1_4_family_residential_loans,home_equity_loans,adjustable_rate_loans_secured_by_1-4_family_residential,total_loans,individual_loans,micro_amount,micro_number,small_business_amount,small_business_number,agg_amount,agg_number,other_real_estate_owned,real_estate_acquired,other_real_estate_owned_1-4_family,other_real_estate_owned_multi-family_residential,other_real_estate_owned_commercial_real_estate,other_real_estate_owned_construction_development,other_real_estate_owned_farmland,foreclosed_properties_from_GNMA_loans,total_deposits,net_interest_margin,noninterest_income_to_average_assets,noninterest_expense_to_average_assets,loan_and_lease_loss_provision_to_assets,net_operating_income_to_assets,roa,roe,retained_earnings_to_average_equity,net_charge_offs_to_loans,net_loans_and_leases_to_total_assets,net_loans_and_leases_to_deposits,net_loans_and_leases_to_core_deposits,total_domestic_deposits_to_total_assets,average_total_assets,average_earning_assets,average_equity,average_total_loans,number_domestic_offices,number_of_offices_in_insured_other_areas,cbsa_metro
1st Equity Bank Northwest,Buffalo Grove,IL,60089,6/30/16,4,36960,28852,28782,1,0,0,0,0,8157,915,0,27751,149,460,7,4180,10,0,0,0,0,0,0,0,0,0,0,28782,2.882282722,0,2.705509401,0,5.47E-02,5.47E-02,0.246487552,-0.123243776,0.811027934,74.20183983,95.28524772,103.0588854,77.87337662,36592,35041.67,8114,27372.67,1,0,16980
1st Financial Bank USA,Dakota Dunes,SD,57049,6/30/16,376,678103,542993,504954,88,0,30950,0,0,167,0,0,528728,516886,387,15,1553,12,3311,59,71,71,71,0,0,0,0,0,504954,18.30316319,2.543733671,14.27471252,2.54691045,1.0795273,1.0795273,5.605696816,5.605696816,3.808710187,74.59486243,100.1734811,375.203056,74.46567852,692525.33,615675,133364.33,538450,2,0,43580
1st Manatee Bank,Parrish,FL,34219,6/30/16,30,146222,132970,132718,5942,0,15137,0,13539,32194,6305,23498,115476,460,1502,51,23717,86,1001,6,532,532,0,0,0,532,0,0,132718,4.089388266,0.796213238,3.604422708,1.94E-02,0.607005278,0.7934438,8.986120913,8.986120913,0,78.20437417,86.16163595,95.60884251,90.76472761,144433.67,131217.67,12753,114877,3,0,35840
1st National Bank,Lebanon,OH,45036,6/30/16,59,143199,128413,125902,850,61965,20711,895,406,59436,14374,4675,101316,989,1278,44,17931,60,0,0,1630,1630,249,0,407,974,0,0,125902,3.118716428,3.12104108,5.096240459,1.27E-02,0.802513053,0.802513053,7.71424691,2.308841505,0.147652012,70.0626401,79.68817016,86.99901146,87.92100503,141555.33,126654.67,14726,93463,10,0,17140
1st Security Bank of Washington,Mountlake Terrac,WA,98043,6/30/16,293,783870,700080,671641,0,211218,97728,0,48671,208760,27196,108725,622751,165547,976,36,34194,106,0,0,0,0,0,0,0,0,0,0,671641,4.416025973,2.741835235,4.597696099,0.317648415,1.259475965,1.259475965,11.72720278,10.54659536,1.12E-02,78.3036728,91.38795875,98.98898185,85.68270249,755552.33,710231.33,81144.67,590424.33,12,0,42660
1st Source Bank,South Bend,IN,46601,6/30/16,1165,5368372,4692943,4325588,2818,629316,807797,0,244540,551332,186483,25085,4168687,132847,41559,1946,423648,2051,38887,455,452,452,302,0,150,0,0,0,4325588,3.599963772,1.615621105,3.090994813,0.114996781,1.102103818,1.097184892,8.640392908,3.240297077,-1.58E-02,75.9490773,94.25837597,111.3537888,80.57541467,5259277.67,4802548.33,667840,4072392.67,83,0,43780
1st State Bank,Saginaw,MI,48604,6/30/16,50,229103,209011,197740,6040,9971,15851,0,1475,21049,6402,10871,166452,1134,9400,338,79430,394,27,1,1848,1848,1215,0,633,0,0,0,197740,3.676682971,0.488829925,2.729968213,0.213696142,0.633965221,0.633965221,7.229160321,7.229160321,-0.04805451,71.59312624,82.94831597,94.03475379,86.31052409,224618,208938.33,19698,162315.67,4,0,40980
1st State Bank of Mason City,Mason City,IL,62664,6/30/16,6,28392,24598,24579,309,0,11400,0,8100,4747,0,436,11724,3239,1384,54,0,0,2354,33,0,0,0,0,0,0,0,0,24579,2.846857144,0.438191092,1.848618671,0,1.34196022,1.34196022,10.65312922,0.489174301,0.117502205,40.76148211,47.08490988,47.59417667,86.57016061,29211,28241.67,3679.67,11914.67,1,0,
1st Summit Bank,Johnstown,PA,15904,6/30/16,172,957777,870087,833856,771,0,443982,0,299489,228836,16121,12262,479440,28571,11915,647,60987,280,827,12,283,283,224,0,59,0,0,0,833856,2.923798451,0.500716492,1.971623962,6.86E-02,0.965943753,1.088826166,12.10267849,8.378957905,9.38E-02,49.42058538,56.76507694,60.03975261,87.06160202,947442.33,907107.67,85237.33,473319,16,0,27780
1st Trust Bank  Inc.,Hazard,KY,41701,6/30/16,50,205428,187021,178337,8713,0,6013,0,227,23878,418,215,176985,4512,8149,231,53468,202,492,8,1367,1367,102,0,0,1265,0,0,178337,3.585954606,0.35597887,2.68940605,0.334028431,0.435191327,0.435191327,5.026732073,5.026732073,0.22328793,85.55065522,98.54657194,142.3359142,86.81241116,209563,194313.67,18143,173766.67,4,0,
1st United Bank,Faribault,MN,55021,6/30/16,35,145229,133678,130411,77,1008,48653,0,13013,19025,6528,440,82425,3140,1310,69,18944,70,2140,10,1139,1139,0,0,700,289,150,0,130411,3.761912816,0.883870778,3.374652194,0,1.075469348,1.075469348,11.95460979,-39.12841723,0.216963909,56.26217904,62.65499076,62.80042119,89.79680367,143007.33,135569.33,12865.33,80197.67,2,0,
21st Century Bank,Loretto,MN,55357,6/30/16,43,382607,333046,319562,341,0,52742,0,16630,35052,2644,22984,283743,476,5333,162,106376,418,1562,9,13571,13571,0,0,620,12951,0,0,319562,3.682388102,0.272355386,2.134176807,7.35E-02,0.873106003,0.893325667,6.709395424,0.572753268,0.19619673,73.75897461,88.31056258,106.6570166,83.52225652,367167.33,337607,48886.67,276253.33,7,0,33460
5Star Bank,Colorado Springs,CO,80914,6/30/16,33,148186,131893,131528,385,0,4460,0,3515,22631,639,3300,123707,761,2278,77,38372,138,521,2,0,0,0,0,0,0,0,0,131528,4.774358565,0.38879863,2.893039809,0.450898412,0.986846524,0.986846524,9.166529252,9.166529252,-1.68E-03,82.89582012,93.39456237,100.4916598,88.75872215,148148.67,140584.33,15949.33,119373.33,4,0,17820
A J Smith Federal Savings Bank,Midlothian,IL,60445,6/30/16,38,202131,171741,166063,6,0,46121,0,31579,102853,5260,5158,110823,74,98,4,1859,17,0,0,40,40,40,0,0,0,0,0,166063,2.370698799,0.288711104,2.127907768,-0.106930039,0.303603542,0.351897036,2.413011598,2.413011598,2.47E-02,54.39986939,66.21523157,69.15660377,82.15612647,205742,188552,30004,113469,3,0,16980
AB&T National Bank,Albany,GA,31708,6/30/16,36,139637,121578,113721,3750,0,4102,0,3545,33406,9247,3213,121457,4102,3288,107,30727,123,1347,16,0,0,0,0,0,0,0,0,113721,3.992455429,0.622384763,3.505304706,0,0.419849803,0.436933773,3.474730275,3.474730275,-1.68E-03,85.61197963,105.122185,109.1186243,81.44044916,142355.67,126538.67,17900.67,119270.33,4,0,10500
Abacus Federal Savings Bank,New York,NY,10013,6/30/16,92,246050,204075,202734,2000,0,5926,0,0,90495,12224,17189,188413,153,18,7,43381,120,0,0,489,489,489,0,0,0,0,0,202734,3.36694378,0.612806757,3.70503463,0,0.159213664,0.159213664,0.916781324,0.916781324,0,75.80898191,92.00627423,121.92807,82.39544808,241185.33,226021,41885.67,182991.33,6,0,35620
Abbeville Building & Loan (A State-Chartered Savings Bank),Abbeville,LA,70510,6/30/16,22,66234,52021,50587,0,0,2306,0,10,25015,874,388,41154,55,0,0,0,0,0,0,10,10,10,0,0,0,0,0,50587,2.773130248,1.722828825,4.402114282,0,-0.123705747,-0.123705747,-0.575411542,-0.575411542,0,61.27819549,80.23207543,83.15133884,76.37618142,66286.33,59571.67,14250.67,42522.33,1,0,29180
Abbeville First Bank  SSB,Abbeville,SC,29620,6/30/16,19,74832,66599,55208,0,0,23154,0,7277,34565,1113,7110,43581,660,835,29,5908,25,0,0,175,175,0,0,0,175,0,0,55208,3.554602809,0.28999518,2.780049949,6.69E-02,0.711045875,1.299401481,11.63545568,11.63545568,-4.66E-02,57.30703442,77.67714824,81.50062716,73.77592474,71725.33,65942.67,8010,42957.33,1,0,
