name,city,stalp,zip,repdte,number_of_employees,asset,liabilities,deposits,common_stock,derivatives,total_securities,asset_backed_securities,mortgage_backed_securities,1_4_family_residential_loans,home_equity_loans,adjustable_rate_loans_secured_by_1-4_family_residential,total_loans,individual_loans,micro_amount,micro_number,small_business_amount,small_business_number,agg_amount,agg_number,other_real_estate_owned,real_estate_acquired,other_real_estate_owned_1-4_family,other_real_estate_owned_multi-family_residential,other_real_estate_owned_commercial_real_estate,other_real_estate_owned_construction_development,other_real_estate_owned_farmland,foreclosed_properties_from_GNMA_loans,total_deposits,net_interest_margin,noninterest_income_to_average_assets,noninterest_expense_to_average_assets,loan_and_lease_loss_provision_to_assets,net_operating_income_to_assets,roa,roe,retained_earnings_to_average_equity,net_charge_offs_to_loans,net_loans_and_leases_to_total_assets,net_loans_and_leases_to_deposits,net_loans_and_leases_to_core_deposits,total_domestic_deposits_to_total_assets,average_total_assets,average_earning_assets,average_equity,average_total_loans,number_domestic_offices,number_of_offices_in_insured_other_areas,cbsa_metro
BankFirst,Norfolk,NE,68701,6/30/16,42,378528,328710,288903,1500,0,107298,78474,13886,27733,2572,5209,255654,2256,6369,224,30094,156,34192,379,0,0,0,0,0,0,0,0,288903,3.609922701,0.45759401,1.927375008,0.115083523,1.242080027,1.251122304,9.307287875,9.307287875,-0.222253469,66.44845295,87.06243964,93.51869065,76.32275552,364952.33,351475.67,49058.33,246565.33,8,0,
BankFirst Financial Services,Macon,MS,39341,6/30/16,198,915253,830553,819835,533,0,119644,0,65556,161089,15426,7996,710175,17042,28819,1344,129789,565,39437,709,1608,1608,73,0,827,708,0,0,819835,3.774187545,0.761314526,2.876955962,0.137541961,0.786568636,0.79251414,8.673696361,8.673696361,8.08E-02,76.78598158,85.72285887,95.29883179,89.57468591,910267.67,830748.33,83171,710595.67,19,0,
BankGloucester,Gloucester,MA,1930,6/30/16,42,227567,208671,192952,0,0,21404,0,4035,94963,14135,73369,186649,814,3185,92,30962,106,0,0,178,178,178,0,0,0,0,0,192952,3.558077496,0.391489133,3.033593879,6.70E-02,0.414728214,0.414728214,4.982638619,4.982638619,9.43E-02,81.38789895,95.98863966,103.2005706,84.78909508,223761,211237.67,18624.67,186664.67,2,0,14460
BankIowa of Cedar Rapids,Cedar Rapids,IA,52402,6/30/16,124,581932,517223,462928,170,7435,85722,0,1222,117672,9046,67311,462883,13170,10202,449,54584,223,67883,835,0,0,0,0,0,0,0,0,462928,3.420395367,0.840233634,2.777893944,3.49E-02,1.183506189,1.183506189,10.71648338,6.140835292,-4.10E-02,78.55144587,98.74451319,111.8017527,79.55018799,573888,537598.67,63379,453203.33,11,0,16300
BankLiberty,Liberty,MO,64068,6/30/16,101,430909,380538,369875,0,0,22159,0,10505,74360,5894,41344,341814,2187,3080,102,48894,157,749,6,8051,8051,217,0,2011,5823,0,0,369875,4.957927428,0.714781179,3.04287309,0,1.28899485,1.28899485,11.30274168,4.052230267,-0.067647362,78.03341309,90.90990199,92.66205726,85.83598857,435378,376730,49651.67,348868,11,0,28140
BankNewport,Newport,RI,2840,6/30/16,254,1407613,1262298,1107633,3000,14655,201400,0,113311,595734,119968,303785,1094406,25891,13269,421,150826,609,277,4,0,0,0,0,0,0,0,0,1107633,3.243786118,1.023794292,2.765332513,7.52E-02,0.812029772,0.811935294,8.018472457,7.311625449,2.41E-02,77.06883923,97.94137589,102.3801187,78.6887447,1397155.67,1310320.67,141473.33,1093952,15,0,39300
BankOrion,Orion,IL,61273,6/30/16,94,435521,387489,370728,1200,2701,158599,0,84659,47203,5553,2280,236812,11691,8625,274,50320,225,13116,168,178,178,0,0,0,178,0,0,370728,3.155649449,0.376257228,2.144666201,9.88E-03,0.87900273,0.888907702,8.05918598,6.822591305,-3.45E-02,53.83069932,63.2388166,66.43957514,85.12287582,425241,391932,46903,232036.33,9,0,19340
BankPacific  Ltd,Hagatna,GU,96910,6/30/16,92,132282,116571,115221,640,0,2189,0,183,57639,0,12556,102843,15615,890,29,13424,45,0,0,248,248,248,0,0,0,0,0,115221,5.199842175,1.610223256,5.881997523,2.72E-02,0.29002145,0.29002145,2.46122292,2.46122292,0.155629759,77.42776795,88.89264978,114.7570923,70.47141712,132404,119119,15602,101523,0,6,
BankPlus,Belzoni,MS,39038,6/30/16,784,2630596,2381164,2111040,900,64542,695898,0,12654,495827,70147,3434,1680824,56656,53389,2435,254704,1014,70394,1093,38273,38273,12362,164,4494,18891,2362,0,2111040,3.6441074,1.980706876,3.901903318,0.298232722,0.767813149,0.767813149,8.202998772,2.386415046,0.396801211,63.26672739,78.83753979,81.96141004,80.24949479,2644914.33,2387690.33,247568,1618946.67,60,0,
BankSouth,Dothan,AL,36303,6/30/16,24,171484,136244,135725,25,0,32721,0,0,71852,9823,45154,133442,1954,2338,91,26919,127,268,2,265,265,0,0,265,0,0,0,135725,3.524170248,0.103898123,2.41300473,0,1.009726324,1.008628973,4.953465233,3.806829762,-2.82E-02,76.2683399,96.3624977,101.1164028,79.1473257,171321.67,164748,34884.67,134687.33,2,0,20020
BankSouth,Greensboro,GA,30642,6/30/16,290,494144,443990,388144,771,404913,19485,0,0,214395,16955,35272,408980,4288,2446,116,26497,109,189,5,1618,1618,321,0,0,1297,0,0,388144,4.645133265,10.94889737,12.30416898,0.104152752,2.843413002,2.843413002,27.47396103,15.67100822,-0.170083367,81.65028818,103.9485346,105.50773,78.54876311,466622.33,432237.33,48293,388045,6,0,
BankStar Financial,Elkton,SD,57026,6/30/16,30,145585,129929,122050,100,0,14604,0,7933,33281,2908,15055,115579,5251,6775,243,21220,93,38187,401,0,0,0,0,0,0,0,0,122050,4.056430436,0.364112601,2.622186403,3.60E-02,1.347072707,1.347072707,12.35344309,9.713818501,1.09E-02,78.90579387,94.12126178,104.3341235,83.83418621,138968,126811,15153.67,109947.33,3,0,
BankTennessee,Collierville,TN,38017,6/30/16,67,283887,254729,247220,23355,0,15574,0,4559,66782,12123,23908,227276,7163,8824,316,55494,209,2910,25,974,974,873,0,101,0,0,0,247220,4.494565547,0.436632209,2.825350625,8.51E-02,1.400256812,1.405587127,13.77768869,3.828293731,3.34E-02,78.74295054,90.42189143,94.09083256,87.08394537,282159.67,249056.33,28785.67,227470.33,8,0,32820
BankUnited  National Association,Miami Lakes,FL,33016,6/30/16,1627,26218377,23665319,18392197,0,3901150,5624996,983207,3388008,3929586,62181,2528384,18252184,27821,53142,1740,744943,2640,263,1,11960,11960,8848,0,2980,132,0,0,18392197,3.778439574,0.34813729,2.252450353,0.144911283,0.917206896,0.954618441,9.487232172,5.276343407,9.39E-02,69.09835037,98.50082619,122.5011086,70.15002111,24899372.33,22724672,2505409.33,17367384.33,101,0,33100
BankVista,Sartell,MN,56377,6/30/16,47,189599,172721,159321,1,0,488,0,488,42370,6225,6286,169746,2399,6619,221,57743,203,1374,8,258,258,0,0,0,258,0,0,159321,3.973899972,1.821031504,3.634169993,0.478091243,0.879507476,0.879507476,9.769539078,9.769539078,0.317560721,88.35173181,105.1424483,123.8459264,84.03050649,177372,169757.67,15968,154931,2,0,41060
Bankwell Bank,New Canaan,CT,6840,6/30/16,121,1511677,1358891,1188309,1321,75000,100796,0,174,229193,21910,174038,1273049,2117,7979,251,125012,414,0,0,492,492,0,0,272,220,0,0,1188309,3.572794464,0.192803326,1.752731851,0.274808255,1.059351244,1.068181241,10.14001474,10.14001474,2.66E-03,83.14931034,105.7762754,123.084644,78.6086578,1416988,1344829.67,149270,1203227,10,0,14860
BANKWEST,Rockford,MN,55373,6/30/16,32,125784,114227,112282,60,1140,20031,0,8046,23471,6295,3798,88527,2329,5349,180,29909,140,3952,40,996,996,573,0,0,343,80,0,112282,4.57456221,0.869326694,3.25677905,0,1.781800118,1.808966578,19.42625616,-1.853388397,-3.01E-02,69.43490428,77.78450687,78.69139006,89.26572537,125154.33,114153,11654.33,86366.67,3,0,33460
BANKWEST OF KANSAS,Goodland,KS,67735,6/30/16,35,92413,80237,79670,426,0,15579,0,0,2582,315,33,60747,1446,2293,97,7136,37,29624,468,0,0,0,0,0,0,0,0,79670,4.175753482,0.333883811,3.325913573,0.161556683,0.753931186,0.753931186,5.848603061,5.848603061,0,65.29167974,75.73490649,97.38532554,86.2108145,92846.67,87888.33,11968.67,59810.67,3,0,
BankWest  Inc.,Pierre,SD,57501,6/30/16,279,925828,826867,744627,2000,7091,141117,0,75345,48956,8844,5275,707205,85834,12506,496,65057,298,116936,1560,3478,3478,144,0,84,3187,63,0,744627,4.499631015,1.474322547,3.940643627,0,1.607960161,1.742617992,16.83907244,6.561113426,3.81E-02,75.23935331,93.54844775,114.9346942,80.42822209,921372.33,849669.67,95349.67,702906,15,0,
Banner Bank,Walla Walla,WA,99362,6/30/16,2018,9633598,8318369,7746027,2827,823755,1382191,30273,977336,1349836,446026,299721,7249079,122260,119751,5631,1449091,6649,122183,1333,5838,5838,1588,206,1050,2994,0,0,7746027,4.235225081,0.86517312,3.344218403,4.19E-02,0.848063082,0.843022508,6.193290156,3.096799033,-3.64E-02,74.42669914,92.5631811,95.78626772,80.40637569,9543754.67,8547739.33,1299083.33,7158579.67,194,0,47460
Banner Banks,Birnamwood,WI,54414,6/30/16,28,93686,80623,80461,180,0,29366,0,0,5609,0,332,37674,457,1051,39,5443,23,7647,71,57,57,0,0,0,57,0,0,80461,2.545191948,0.226062609,2.026032816,0,0.625233727,0.661126498,4.798884182,2.910291052,-4.25E-02,39.41677519,45.89552703,46.77746251,85.8836966,93779.33,89580.67,12919.67,37684,4,0,
Banner Capital Bank,Harrisburg,NE,69345,6/30/16,30,131235,117592,101563,118,0,11858,0,5234,4351,0,0,114308,2948,6064,240,13304,63,36378,376,0,0,0,0,0,0,0,0,101563,4.285471563,0.183275941,2.846453769,8.11E-02,1.307260249,1.307260249,12.10876556,7.376431625,-5.66E-03,86.10584067,111.2619753,131.2042821,77.39017793,123311.33,117653.33,13312.67,105958.67,3,0,
Banterra Bank,Marion,IL,62959,6/30/16,350,1390507,1253150,1175820,800,8104,330619,0,183045,122647,24728,55026,977765,272478,36166,1147,171441,1006,53060,815,462,462,15,0,447,0,0,0,1175820,3.631591331,0.785911442,2.628274844,0.185521846,1.346659256,1.370232216,13.87067869,1.301300347,9.16E-02,69.54513713,82.2430304,90.1592422,84.56052361,1369111,1278337.67,135249.33,954150.67,39,0,16060
Bar Harbor Bank & Trust,Bar Harbor,ME,4609,6/30/16,204,1686706,1519034,990349,1200,90000,532590,250,410271,566187,46175,101344,1049022,7137,16929,617,97704,417,16080,321,209,209,119,0,0,90,0,0,990349,2.961841416,0.461593233,1.869452595,7.55E-02,0.927501627,1.200756227,12.04227935,7.853767503,3.19E-02,61.60712062,104.9257383,156.5651909,58.71497463,1629140,1534045.67,162444.33,1015218,14,0,
Bar Harbor Savings and Loan Association,Bar Harbor,ME,4609,6/30/16,7,98949,89814,75513,0,0,4975,0,203,69366,1196,0,83765,207,255,6,6655,21,0,0,0,0,0,0,0,0,0,0,75513,2.920538758,4.12E-03,1.363416367,8.03E-02,0.970043971,0.970043971,10.59855986,10.59855986,0,83.91696733,109.9611987,132.2529267,76.3150714,97109,94297.67,8888,82061,1,0,
Barclays Bank Delaware,Wilmington,DE,19801,6/30/16,2948,29672565,25890097,20793328,500,22071937,52837,0,48940,0,0,0,24287143,24093583,178167,29461,5299,11,0,0,0,0,0,0,0,0,0,0,20793328,9.323064475,1.747906045,4.524029831,3.208336615,1.721681664,1.721681664,13.5515646,12.580588,3.188390902,79.02750908,112.7741023,195.9981488,70.07593715,29011170.33,26670930,3685773.67,23519575.33,1,0,37980
Barrington Bank & Trust Company  National Association,Barrington,IL,60010,6/30/16,833,2075114,1872255,1364183,2500,2346698,78327,0,4724,696194,65162,35930,1778579,326329,69071,11274,188843,911,0,0,6152,6152,136,0,2999,3017,0,0,1364183,3.03433105,6.289266143,6.832694677,0.131853188,1.295086393,1.298889889,12.99305403,2.917013681,9.16E-02,85.42181297,129.9385786,151.028598,65.74014729,1985541.67,1828607.33,198490.67,1712667.33,7,0,16980
Barwick Banking Company,Barwick,GA,31720,6/30/16,3,11735,10703,10699,150,0,5087,0,0,112,25,0,1686,160,376,15,0,0,1038,34,0,0,0,0,0,0,0,0,10699,1.453744093,0.206731989,2.242246954,1.59E-02,-0.652000887,-0.652000887,-7.794676806,-7.794676806,0.126903553,13.98380912,15.33788205,15.33788205,91.17170856,12576.67,12106.67,1052,1576,1,0,46660
Basile State Bank,Basile,LA,70515,6/30/16,19,55175,49145,48951,90,0,2212,0,341,22807,0,764,42287,5792,7639,142,0,0,4977,58,84,84,84,0,0,0,0,0,48951,5.381426551,0.834642409,3.838635561,0.122318284,1.863555033,1.863555033,17.42737612,5.315686152,0.405470815,75.64476665,85.26281383,89.94267736,88.71952877,55592.67,51547.67,5944.67,43406.33,2,0,
Bath Savings Institution,Bath,ME,4530,6/30/16,177,814576,715114,639733,0,13240,186808,0,45814,284533,32049,127588,544455,6328,8787,447,64497,335,2080,32,0,0,0,0,0,0,0,0,639733,3.167621634,0.879578022,2.734140008,6.23E-02,0.81957441,0.840967262,6.962236569,6.962236569,-3.78E-04,66.07658463,84.13572537,94.31377531,78.53570446,802885,760886.33,96980.33,529787.33,11,0,38860
Battle Creek State Bank,Battle Creek,NE,68715,6/30/16,7,34435,29971,28898,192,0,4321,0,0,1063,85,0,25857,440,1906,52,16012,112,4555,53,0,0,0,0,0,0,0,0,28898,3.354129586,0.450357026,2.773251163,0,0.50961453,0.50961453,3.868645974,2.069275753,0,73.95963409,88.13066648,88.91837162,83.9204298,33751,30827.67,4446,24846.67,1,0,
Bay Bank,Green Bay,WI,54313,6/30/16,26,84569,72730,67459,2050,0,11816,0,1421,14815,490,0,52175,3605,4258,135,18068,63,591,4,1017,1017,0,0,0,1017,0,0,67459,4.599759715,2.42429647,4.234600266,0,1.457014361,1.457014361,10.42841062,10.42841062,0.39815742,59.61877284,74.74021257,87.93295895,79.76800009,82085.67,71090.67,11468.67,51738.33,2,0,24580
Bay Bank  FSB,Lutherville,MD,21093,6/30/16,134,495520,426971,363219,2400,1219,23577,0,15274,172068,33822,35417,422552,1175,2488,95,47494,179,0,0,1467,1467,957,0,166,344,0,0,363219,4.265723744,0.797757342,4.232086148,0.271436108,0.168124877,0.29709013,2.107467023,2.107467023,6.68E-02,84.81171295,115.7040243,122.100165,73.30057314,483355,451928,68138.67,407024,13,0,12580
Bay Commercial Bank,Walnut Creek,CA,94596,6/30/16,106,641774,567218,535660,46753,0,18184,0,4257,40214,12208,19255,504997,2059,1219,53,82263,332,5034,34,0,0,0,0,0,0,0,0,535660,4.40739689,0.209854081,2.713881012,0.114408399,0.886191028,0.886191028,7.64202717,7.64202717,-3.28E-03,78.03011652,93.48784677,107.2210529,83.46551901,632820.67,598630,73383.67,487849.67,12,0,41860
Bay Port State Bank,Bay Port,MI,48720,6/30/16,28,91821,85018,84537,550,0,148,0,124,21335,0,215,84651,2187,4518,166,12147,61,30455,305,0,0,0,0,0,0,0,0,84537,3.985652542,0.359757904,3.563719473,0.105811148,0.308968553,0.308968553,4.308691161,0.737789582,4.07E-02,91.1599743,99.01463265,100.8542683,92.06717418,94508,89772,6777,83525,3,0,
Bay State Savings Bank,Worcester,MA,1608,6/30/16,65,376762,343566,284970,0,0,29276,0,11131,218808,36659,33182,324097,5161,5639,186,48666,217,0,0,227,227,0,227,0,0,0,0,284970,3.279647169,0.386323292,2.840231578,0.178054031,0.308011892,0.321036814,3.635030699,3.635030699,9.89E-02,84.99317872,112.370425,117.7156931,75.63660879,370674,346561.67,32737,315564,8,0,49340
Bay-Vanguard Federal Savings Bank,Baltimore,MD,21219,6/30/16,37,169154,149161,143648,1,0,17305,0,10861,83018,4172,18317,127638,11925,613,18,16096,68,4725,24,508,508,508,0,0,0,0,0,143648,4.059837311,0.100787327,3.208594195,1.483352305,-0.621324227,-0.621324227,-5.150299803,-5.150299803,1.411057136,74.20870922,87.38513589,89.55148281,84.92143254,168672,148380.33,20348.33,129690,4,0,12580
Baybank,Gladstone,MI,49837,6/30/16,28,92580,84003,83453,1000,0,31818,0,12,16947,1646,6688,51667,4495,4772,158,22451,97,296,1,685,685,25,0,660,0,0,0,83453,3.646040243,0.689444331,3.338943539,6.63E-02,0.566139864,0.709332148,7.660796174,5.035601223,1.161435598,55.20522791,61.24285526,63.75396053,90.14149924,90507.67,84804.33,8380.33,50627,3,0,
BayCoast Bank,Swansea,MA,2777,6/30/16,320,1212291,1117543,965419,543,86624,140718,0,0,410245,35976,179570,964717,39938,12104,434,161546,642,349,2,46,46,46,0,0,0,0,0,965419,3.384977524,1.681886774,4.127457724,6.68E-02,0.404053683,0.430321815,5.411013545,5.411013545,-4.30E-04,79.02079616,99.22758926,104.8027377,79.6359125,1167498.33,1068013,92847.67,929907.67,18,0,39300
BBCN Bank,Los Angeles,CA,90010,6/30/16,918,8334246,7327700,6649266,16386,305010,1103945,0,1036490,133822,2943,104412,6598817,34672,23891,841,940511,3442,298,1,16392,16392,288,0,15130,974,0,0,6649266,3.760944144,0.486579405,1.903882937,4.20E-02,1.228630894,1.228630894,10.04276038,4.594717737,5.25E-02,78.26013295,98.09190969,121.131788,79.78245423,8101863.67,7632392,991181.67,6414079,53,0,31080
BCB Community Bank,Bayonne,NJ,7002,6/30/16,386,1735820,1601691,1394366,11145,0,18365,0,18365,466107,23587,259820,1448103,360,2425,64,156980,467,236,1,1328,1328,0,315,405,608,0,0,1394366,3.373586234,0.355857881,2.830606789,0.026816899,0.440105663,0.440105663,5.495411983,-0.88157728,-9.68E-03,82.36827551,102.5387165,120.4435579,80.32895116,1685504.33,1619345,134985.33,1445537,17,0,35620
BCBank  Inc.,Philippi,WV,26416,6/30/16,27,113831,102065,94010,320,57,20006,0,5802,20007,1015,3143,74823,6475,5721,191,24532,111,482,8,2112,2112,156,0,0,1956,0,0,94010,3.882575312,0.651903685,3.730627487,7.13E-02,0.222516458,0.342466736,3.386916531,3.386916531,-5.07E-02,64.87863587,78.55760026,79.80204011,82.5873444,115047.67,99933.67,11633,70953.67,3,0,
Beach Community Bank,Fort Walton Beac,FL,32548,6/30/16,110,535583,517120,488787,6915,5774,34833,0,12156,90364,1322,16706,352044,1169,6341,199,56266,209,67,1,97134,97134,17999,0,28279,49776,1080,0,488787,2.621368049,1.295337102,3.78714485,0,-0.447697155,-0.447697155,-12.66736091,-12.66736091,3.04E-02,64.78865087,70.99145436,74.8947256,91.26260542,536076.67,418026,18946.33,361755.67,11,0,18880
Beal Bank USA,Las Vegas,NV,89134,6/30/16,149,5643032,3854405,3203899,1,0,1281861,0,1128229,384465,703,183515,3862991,148,327,46,47829,255,0,0,101555,101555,26252,692,73535,1076,0,0,3203899,7.174955318,6.01E-02,1.740187354,0.545780954,4.485057105,3.303701051,9.832848739,9.832848739,0.528951765,66.33348881,116.833271,369.6313778,56.77619762,5190360.67,4881675,1743889.33,3403713,22,0,29820
Beal Bank  SSB,Plano,TX,75024,6/30/16,284,2498585,1527411,1363783,2400,0,65399,0,52932,1090428,113132,242057,1910434,17593,16808,278,14211,189,50,7,37446,37446,35590,977,374,505,0,0,1363783,5.389630084,2.265555275,3.191704219,-2.10E-02,4.103051654,4.095053993,9.457440652,-0.700259404,6.17E-02,75.24851066,137.8626952,413.1966375,54.58221353,2228151.33,2085820.33,964785.33,1746127,19,0,19100
Bear State Bank,Little Rock,AR,72223,6/30/16,508,1986246,1739434,1642248,0,15168,192549,0,97240,379368,18090,94986,1498557,36187,40810,1798,193899,816,73887,1192,2190,2190,844,0,16,1330,0,0,1642248,3.976974819,0.805283501,2.988844649,0.105323744,0.905920235,0.905763589,7.262205829,6.435922312,0.111275814,74.70403968,90.35212708,95.7852838,82.68099722,1940683,1701846.33,242047.67,1477410,51,0,30780
Beardstown Savings s.b.,Beardstown,IL,62618,6/30/16,11,48465,43051,37120,0,0,13533,0,5881,23328,0,6611,30406,3158,677,24,1148,8,1027,11,333,333,333,0,0,0,0,0,37120,3.937271429,0.148947801,3.170460332,0.127669544,0.312279704,0.378752979,3.346072219,3.346072219,0.133226752,61.94986072,80.88362069,82.80426928,76.59135459,46996.33,42872.33,5319.67,30024,2,0,
Beartooth Bank,Billings,MT,59106,6/30/16,9,44688,38412,38253,11,0,61,0,61,6664,420,5939,35741,606,1567,91,13152,51,1056,14,1345,1345,0,0,1345,0,0,0,38253,4.398386087,8.54E-02,2.918172313,0,0.849354218,0.849354218,5.788824335,5.788824335,-0.113608064,78.37003222,91.55360364,93.01250896,85.60016112,42149.67,35285.67,6184.33,33448.33,1,0,13740
Beauregard FSB,Deridder,LA,70634,6/30/16,11,60021,49408,49105,114,0,8557,0,36,24622,0,4,40165,4505,2019,74,3275,20,69,2,306,306,0,0,0,306,0,0,49105,4.984757685,0.385060941,2.773744065,0.097896849,2.271206905,2.271206905,13.32652965,8.175902533,0.913011677,65.93192383,80.58853477,85.76537136,81.81303211,61289,58498.33,10445.33,39649,2,0,
Bedford Federal Savings Bank,Bedford,IN,47421,6/30/16,28,120914,108484,106115,0,0,70,0,70,71692,0,44841,98826,5227,1911,69,10413,63,625,4,301,301,301,0,0,0,0,0,106115,4.063965584,0.484395271,3.093048872,0.144835795,0.61796606,0.61796606,6.273141398,6.273141398,9.69E-02,80.88724217,92.16793102,100.6721495,87.7607225,124278.67,113436,12242.67,101103.33,2,0,
Bedford Loan & Deposit Bank,Bedford,KY,40006,6/30/16,29,89818,77025,73817,60,0,34570,0,16880,30122,321,8525,47868,4571,3844,138,0,0,5584,115,224,224,224,0,0,0,0,0,73817,3.703357186,0.712591743,3.583190028,7.87E-02,0.460824314,0.469816007,3.354824004,2.455923793,-8.87E-02,52.32581442,63.6682607,66.05110043,82.18508539,88971,81979.67,12459.67,47332.33,3,0,31140
Belgrade State Bank,Belgrade,MO,63622,6/30/16,85,243055,220111,218423,120,0,22928,0,5291,73809,78,62456,190001,10251,6836,236,35112,142,9854,195,473,473,20,0,0,453,0,0,218423,4.148716516,1.343639464,3.652808795,0.21099866,0.910298857,0.984941743,10.49964169,10.49964169,0.298145832,77.74084055,86.50783113,98.16454184,89.86566826,236968.33,221755.33,22229.33,183802.67,6,0,
Bell State Bank & Trust,Fargo,ND,58103,6/30/16,988,3891762,3528269,3422387,600,649652,72893,0,135,718590,121931,20332,3678935,107378,36878,1430,285851,1173,121190,1057,234,234,0,0,0,234,0,0,3422387,3.820234095,2.464915168,4.300591862,0.159998111,1.039987725,1.039987725,11.20708661,10.07648519,-1.40E-02,93.69259991,106.5423928,110.5664666,87.93926761,3812545,3657838.67,353794,3492194.33,21,0,22020
Bellevue State Bank,Bellevue,IA,52031,6/30/16,14,97673,84396,83810,137,2265,6802,0,5135,21991,3121,0,77757,4883,4177,170,10346,61,22255,313,193,193,0,0,193,0,0,0,83810,4.019579614,0.520701041,1.95157057,0,2.15191347,2.178054356,16.1007667,13.53465811,1.84E-02,78.62152284,91.62629758,94.22215678,85.80672243,94488,86825,12782,75892.33,1,0,
Belmont Bank & Trust Company,Chicago,IL,60634,6/30/16,31,346212,311291,308985,1200,0,84007,0,21848,43738,1268,2114,252915,448,2637,54,47772,149,430,1,0,0,0,0,0,0,0,0,308985,3.906308334,0.271585181,1.725880024,0.221940578,1.349836757,1.38362429,14.35714069,14.35714069,7.14E-02,71.980174,80.65245886,112.3456512,89.24733978,342434,330132.67,33001,237986,2,0,16980
Belmont Federal Savings and Loan Association,Belmont,NC,28012,6/30/16,11,95087,77421,77073,0,0,6541,0,0,57129,1876,0,62827,33,273,5,2062,9,0,0,226,226,0,0,226,0,0,0,77073,3.263385754,3.17E-02,2.552498573,0,0.427178717,0.427178717,2.300683371,2.300683371,0,65.78501793,81.16071776,99.4546553,81.05524414,94574,88129.33,17560,62772,1,0,16740
Belmont Savings Bank,Belmont,MA,2478,6/30/16,115,1979127,1831028,1391056,1,0,159463,0,119713,1038535,173691,406763,1701838,82524,275,17,25269,63,0,0,0,0,0,0,0,0,0,0,1391056,2.513875064,0.138643019,1.484079443,0.140850376,0.580219458,0.580219458,7.631582586,7.631582586,4.53E-03,85.35556334,121.4397551,142.5481195,70.28634342,1902728.33,1827139.33,144662,1631828.33,7,0,14460
Belmont Savings Bank,Bellaire,OH,43906,6/30/16,58,490488,422852,332483,0,0,400956,0,400854,61745,1251,3949,76276,13869,90,3,551,4,4,1,0,0,0,0,0,0,0,0,332483,2.636823426,6.40E-02,1.381618234,3.88E-02,0.805394632,0.805394632,6.412802634,6.412802634,0.486531688,15.07315164,22.23632486,23.83165821,67.78616398,515772,503788,64776.67,78926,4,0,48540
Belpre Savings Bank,Belpre,OH,45714,6/30/16,14,49968,42524,38581,0,0,1543,0,20,24439,1537,16418,33074,7786,683,7,0,0,0,0,31,31,31,0,0,0,0,0,38581,2.708687322,9.98E-02,4.981472157,0.478987707,-1.911959265,-1.911959265,-12.51906282,-12.51906282,0.505777657,65.14969581,84.37832094,85.82878536,77.21141531,50105.67,46664.67,7652.33,35193.33,2,0,
Belt Valley Bank,Belt,MT,59412,6/30/16,15,58609,50440,49783,400,0,9925,0,115,16048,116,0,42984,2636,1107,40,4986,32,6544,57,0,0,0,0,0,0,0,0,49783,4.402968057,0.177626962,2.930844871,0,0.95016761,0.963284678,6.997805121,-0.446668412,2.86E-02,72.23634595,85.043087,85.043087,84.94087939,58549.67,57007,8059.67,41992.67,1,0,24500
Ben Franklin Bank of Illinois,Arlington Height,IL,60004,6/30/16,24,80852,72766,71664,0,0,7493,0,488,33205,4441,7822,57595,567,712,13,11597,41,0,0,476,476,0,0,389,87,0,0,71664,3.293880111,0.145952855,4.750765432,-8.03E-02,-1.313575695,-1.313575695,-12.92897563,-12.92897563,-7.98E-02,70.02176817,78.99921858,79.74589044,88.63602632,82218.33,78630.67,8353.33,57669.67,2,0,16980
Benchmark Bank,Plano,TX,75024,6/30/16,171,544210,494745,487840,300,74075,2294,0,2294,104536,239,7841,483083,13938,2360,88,48086,185,1933,8,3649,3649,50,0,1950,1649,0,0,487840,4.649054369,4.299978982,7.267818122,0.233507271,1.103991755,1.103991755,12.04736989,12.04736989,-6.75E-02,88.07151651,98.24819613,106.0793314,89.64186619,522467.67,483840.33,47877.67,465435.33,6,0,19100
Benchmark Bank,Gahanna,OH,43230,6/30/16,60,125962,113707,104979,1201,0,2255,0,2255,59734,4964,18437,108883,7,1370,26,19316,66,0,0,469,469,0,0,0,469,0,0,104979,4.44865964,4.788212758,8.300002939,-0.281659574,1.032209075,1.032209075,10.62361811,10.62361811,0.030550676,85.39400772,102.4623972,106.0851727,83.3418015,122843.33,117743.33,11935.67,104744,2,0,18140
Benchmark Community Bank,Kenbridge,VA,23944,6/30/16,155,533173,470884,467519,2000,0,34062,0,1149,259293,30942,60580,430955,18063,32183,1216,61743,338,12856,183,3890,3890,424,0,3466,0,0,0,467519,4.46194793,0.981000268,3.372655032,0,1.181381145,1.229983213,10.75660736,7.377824772,0.018707834,79.95022254,91.17768476,96.13799823,87.68617316,535779.67,490906.67,61264.67,427628.33,14,0,
Beneficial Bank,Philadelphia,PA,19107,6/30/16,782,5513455,4559336,4145185,0,103085,1219200,0,1120210,1150242,126489,72418,3798837,406113,18695,679,206798,779,705,3,1999,1999,1590,0,134,275,0,0,4145185,3.062938944,0.455124527,2.779253124,0,0.314286967,0.314081064,1.740993866,-9.233501002,5.95E-02,68.09374521,90.57057767,96.93760938,75.18307486,5050925.33,4632283,911203.67,3297537.33,64,0,37980
